0185,C=CC1=C(C)C(=Cc2[nH]c(Cc3[nH]c(C=C4NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)NC1=O,1.3
0185,C=CC1=C(C)C(C=c2[nH]c(=Cc3[nH]c(C=C4NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)=NC1=O,1.2
0185,CC(=O)C1CCC2C3CC=C4CC(OS(=O)(=O)O)CCC4(C)C3CCC12C,0.91
0185,CC(=O)N1CCCC1C(=O)O,6.05
0185,CC(=O)NC(CC(=O)O)C(=O)O,8.84
0185,CC(=O)NC(CC(C)C)C(=O)O,3.02
0185,CC(=O)NC(CC(N)=O)C(=O)O,7.88
0185,CC(=O)NC(CCC(=O)O)C(=O)O,8.75
0185,CC(=O)NC(CCCCN)C(=O)O,8.76
0185,CC(=O)NC(CO)C(=O)O,7.56
0185,CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,5.66
0185,CC(=O)NC(Cc1ccccc1)C(=O)O,4.08
0185,CC(=O)NC1C(O)CC(O)(C(=O)O)OC1C(O)C(O)CO,8.33
0185,CC(=O)NC1C(O)OC(CO)C(O)C1O,8.03
0185,CC(=O)NC1C(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)OC(CO)C(O)C1O,9.14
0185,CC(=O)NCC(=O)O,7.17
0185,CC(=O)NCCc1c[nH]c2ccc(O)cc12,2.26
0185,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,1.09
0185,CC(=O)c1ccc(O)cc1O,1.3
0185,CC(C)(CO)C(O)C(=O)NCCC(=O)O,6.03
0185,CC(C)=CCNc1ncnc2nc[nH]c12,2.04
0185,CC(C)C(N)C(=O)O,7.72
0185,CC(C)CC(N)C(=O)O,7.02
0185,CC(CC(=O)O)CC(=O)O,7.27
0185,CC(CCC(=O)NCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,5.5
0185,CC(CCC(=O)NCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,4.94
0185,CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,1.32
0185,CC(CCC(=O)O)C(=O)O,7.37
0185,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,2.33
0185,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,1.74
0185,CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,1.69
0185,CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,1.19
0185,CC(N)C(=O)O,5.74
0185,CC(O)(CC(=O)O)C(=O)O,8.8
0185,CC(O)(CC(=O)O)CC(=O)O,8.15
0185,CC(O)C(=O)O,1.54
0185,CC(O)C(O)C1=Nc2c(nc(N)[nH]c2=O)NC1,5.52
0185,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,1.26
0185,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,1.24
0185,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,1.43
0185,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(O)C(=O)CO,1.21
0185,CC1NC(=O)NC1CCCCCC(=O)O,3.18
0185,CC1OC(n2cnc3c(N)ncnc32)C(O)C1O,4.24
0185,CCC(C)C(N)C(=O)O,7.18
0185,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O,1.04
0185,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O,1.01
0185,CCCC(N)C(=O)O,7.52
0185,CCCCC(N)C(=O)O,7.04
0185,CCCCCCCCC=CCCCCCCCC(=O)O,1.08
0185,CCCCCCCCC=CCCCCCCCC(=O)OCC(O)CO,1.06
0185,CCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCC,1.65
0185,CCCCCCCCCCCCCC(=O)O,1.04
0185,CCCCCCCCCCCCCCCC(=O)O,1.03
0185,CN(C)C(N)=NCCCC(N)C(=O)O,2.02
0185,CN(CC(=O)O)C(=N)N,8.59
0185,CN1CC(=O)NC1=N,5.92
0185,CNC(CC(=O)O)C(=O)O,8.28
0185,CNC(CCC(=O)O)C(=O)O,8.12
0185,CNCC(O)c1ccc(O)c(O)c1,2.03
0185,COC(=O)c1ccc(O)c(OC)c1,1.47
0185,COc1cc(C(O)C(=O)O)ccc1O,6.9
0185,COc1cc(C=CC(=O)O)ccc1O,3.78
0185,COc1cc(CC(=O)O)ccc1O,4.78
0185,COc1cc(CC(N)C(=O)O)ccc1O,7.72
0185,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,1.36
0185,CS(=N)(=O)CCC(N)C(=O)O,9.03
0185,CSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,3.94
0185,CSCCC(N)C(=O)O,7.53
0185,CSCCC(NC(C)=O)C(=O)O,4.9
0185,CSCCC(NC=O)C(=O)O,5.35
0185,CSc1ncnc2nc[nH]c12,2.09
0185,C[Se]CCC(N)C(=O)O,6.81
0185,Cc1c[nH]c(=O)[nH]c1=O,2.68
0185,Cc1cc2nc3[nH]c(=O)[nH]c(=O)c3nc2cc1C,2.06
